Nom;Adresse;Complément Adresse;Code Postal;Ville;Pays;Courriel;Site Internet;Indicatif téléph;Téléphone;Télécopie;
Institut français du Cambodge;218, rue 184 Kéo Chéa;- BP 827;;Phnom Penh;Cambodge;information@institutfrancais-cambodge.com;http://www.institutfrancais-cambodge.com/;855;23 213 124/125;23 721 384;
Institut français du Cameroun;140, avenue du Président Ahmadou Ahidjo;- BP 513;;Yaoundé;Cameroun;ccf.contact@ccfyaounde.com;http://www.ccfyaounde.com;237;22 22 09 44 - Portable : 237 99 50 47 88;22 22 43 43;
Institut français du Cap-Vert;Rua Manuel Duarte;#NOM?;82;Praia;Cap-Vert;"secretariatccfpraia@yahoo.fr ; directionccfpraia@yahoo.fr";http://www.ccfcv.org/;238;261 11 96;61 12 60;
Institut français du Chili;Condell 65 - Providencia;- Francisco Noguera 176, Providencia;;Santiago;Chili;france@netline.cl;http://www.institutfrancais-chile.com;56;2 470 80 60;2 470 80 90;
Institut français de Chine;Guangcai International Mansion;- 18, Gongti Xilu;100020;Beijing;Chine;centreculturel@ccfpekin.org;http://www.ccfpekin.org;86;10 65 53 26 27;10 65 53 54 66;
Institut français de Chypre;3 rue Vasilissis Amalias;BP 21713;1101;Nicosie;Chypre;cccl.nicosie@cytanet.com.cy;http://ccfchypre.org;357;22.459.333  /22.459.332;22772146;
CEF de Bogota;"Alianza Francesa Colombo
Sede Centro
Cra 3 No. 18-45, Bogota";;;Bogota;Colombie;bogota@campusfrance.org;http://www.colombie.campusfrance.org;57;12 815 145;;
Institut français du Congo;Bacongo Rond-point CCF;- BP 2140;;Brazzaville;Congo;com@ccfbrazza.org;http://www.ccfbrazza.org;242;281 19 00  - 661 07 02;81 38 55;
Institut français de République Démocratique du Congo;Kinshasa Gombe;- BP 5236;;Kinshasa;Congo (Rép. Dem. du);secretariat@ccf-kinshasa.org;http://www.ccf-kinshasa.org;243;81 05 81 512;81 26 16 262;
Institut français de Corée du sud;18th F1, Woori Building;- 10 Bongrae-dong 1 ga, Jung-gu;100-161;Séoul;Corée du sud;pr@france.or.kr;http://www.france.or.kr;82;23 178 500;27734447;
Institut français d'Amérique centrale;Curridabat de Plaza del Sol, 425 MTS AL SUR;;490-2050;San José;Costa Rica;ifac@amnet.cr;http://www.franc-es.org;506;22 24 41 05;22 53 74 10;
Institut français de Côte d'Ivoire;rue Leceour-Plateau;- BP 1839;;Abidjan;Côte d'Ivoire;;;225;20300200;20214481;
Institut français de Croatie;Hebrangova 2;Médiathèque : Preradoviceva 5;10000;Zagreb;Croatie;institut@ambafrance.hr;http://www.ifz.hr;385;1 48 93 619;1 48 93 666;
Institut français du Danemark;Østergade 18;- 1. og 2. sal;1100;Copenhague K;Danemark;info@institut-francais.dk;http://www.institut-francais.dk;45;33 38 77 00;;
Institut français de Djibouti;BP 64;#NOM?;;Djibouti;Djibouti;ccfar@intnet.dj;http://www.ambafrance-dj.org;253;35 35 13;35 51 30;
Institut français d'Égypte;1, rue Madrasset El Huquq El Frinseya;#NOM?;11431;Le Caire;Égypte;communication@cfcc-eg.org;http://cfcc-eg.org/;20;2 791 58 00;2 795 71 48;
Institut français d'Espagne;Calle Marquès de la Ensenada,12;;28004;Madrid;Espagne;info.madrid@institutfrancais.es;http://www.institutfrancais.es/;34;9 17 00 48 00;91 319 64 01;
Institut français d'Estonie;Kuninga 4;;10146;Tallinn;Estonie;info@ife.ee;http://www.institutfrancais-estonie.com;372;62 71 191;62 71 198;
Maison française de Washington;4101 Reservoir Road, N.W.;;20007 - 2178;Washington DC;États-Unis;specialevents@ambafrance-us.org;http://www.la-maison-francaise.org;1;2 029 446 400;2 029 446 167;
Institut français de Finlande;Kaapeli;- Tallberginkatu 1 C 135;;Helsinki;Finlande;info@france.fi;http://www.france.fi;358;92 510 210;925 102 112;
Institut français du Gabon;Boulevard Triomphal;;2103;Libreville;Gabon;;http://www.institutfrancais-gabon.com;241;71 31 94;74 63 17;
Institut français de Géorgie;75, avenue David Aghmachénébéli;;102;Tbilissi;Géorgie;dumas@ccf-tbilisi.ge;http://www.ccf-tbilisi.ge;995;32 2 92 28 55;32 2 92 33 06;
Institut français de Grèce;Sina 31;;;Athènes;Grèce;ifa@ifa.gr;http://www.ifa.gr;30;2 103 398 600;210 36 46 873;
Institut français de Guinée;Espace Sory Kandia Kouyaté - Face au cinéma “Liberté”;- BP 492;;Conakry;Guinée;conakry@campusfrance.org;http://www.guinee.campusfrance.org;224;62 55 28 12;;
Institut français de Guinée Equatoriale;Calle Acacio Mañé;- BP 936;;Malabo;Guinée equatoriale;directeur@icef-malabo.org;http://www.institutfrancais-malabo.org/;240;333 09 37 32;;
Institut français en Haïti;99, rue Lamartinière;Villa Lamartinière;;Port-au-Prince;Haïti;ifh@compa.net;http://www.ifhaiti.org/ (en construction);509;401 48 54;511 14 71;
Institut français de Hongrie;Fö utca 17;;1011;Budapest;Hongrie;inst-france@inst-france.hu;http://www.inst-france.hu;36;1 489 42 00;1 489 42 22;
Institut français en Inde;2, Aurangzeb Road;;110011;New Delhi;Inde;;;91;130 41 00 50;130 41 00 59;
Institut français d'Indonésie;Jl.  Salemba Raya n°25 Jakarta Pusat;;10440;Jakarta;Indonésie;ecrire@ccfjakarta.or.id;http://www.ccfjakarta.or.id;62;21 390 85 85;21 390 85 86;
Institut français en Irak;Rue Abou Nawas;;;Bagdad;Irak;ccfbagdad@yahoo.com;;9641;717 34 43 / 719 29 32;;
Institut français de Téhéran;8, ruelle Kimya, rue Abivard, avenue Enghelab;;19537;Téhéran;Iran;;http://www.ambafrance-teheran-culture.com/;98;(0)21  6670 5040 - 41 - 43 - 44;(0)21 6671 4156;
Institut français d'Israël;7, boulevard Rothschild;;66881;Tel-Aviv;Israël;ifta@ambfr-il.org;http://www.institutfrancais-israel.org;972;3 796 80 00;;
Institut français d'Italie;Piazza Farnese 67;;00186;Rome;Italie;info@institutfrancais.it;http://www.institutfrancais-italia.com;39;06 68 60 17 99;;
Institut franco-japonais du Kyushu (Fukuoka);2-12-6, Daimyo;Chuo - Ku;810-0041;Fukuoka;Japon;info@ifj-kyushu.org;http://www.ifj-kyushu.org;81;92 712 09 04;92 712 09 16;
Institut franco-japonais du Kansaï (Kyoto);8, Izumidono-Cho Yoshida; Sakyo-ku ;606-8301;Kyoto;Japon;informations@ifjkansai.or.jp;http://www.ifjk.jp;81;75 761 21 05;75 761 21 06;
Institut franco-japonais de Tokyo;15, Funagawara-Cho Ichigaya; Shinjuku-ku;162-8415;Tokyo;Japon;tokyo@institut.jp;http://www.institut.jp;81;03-5206-2500;03-5206-2501;
Institut français de Jérusalem;;;; ;Jérusalem;;;;;;
Institut français de Jordanie;4 Kulliyat Al-Sharee'a- Square de Paris;"- Jabal Lweibdeh
BP 9257";11191;Amman;Jordanie;info@lecentre.jo;http://www.ifjordan.com/;962;6 46 12 658;6 46 30 061;
Institut Français du Laos;Avenue Lane Xang;- BP 6572;;Vientiane;Laos;info@if-laos.org;http://www.if-laos.org;856;21 21 57 64 / 21 21 57 65;21 21 57 66;
Institut français de Lettonie;Elizabetes iela 59;;LV 1050;Riga;Lettonie;info@institut-francais.lv;http://www.institut-francais.lv/;371;67 20 18 51;67 20 18 62;
Institut français du Liban;B.P. 11 477;;;Beyrouth;Liban;;http://www.institutfrancais-liban.com/fre/Beyrouth;961;1-420 243;;
Institut français de Libye;15-17, rue Karatchi;- BP 683;;Tripoli;Libye;icflibye@yahoo.fr;;218;21 333 55 67;21 444 43 81;
Institut français de Lituanie;Didzioji 1;;2600;Vilnius;Lituanie;info@institutfrancais-lituanie.com;http://www.institutfrancais-lituanie.com;370;5 219 96 96;5 219 96 39;
Institut français du Luxembourg ;34/A, rue Philippe II;- BP 236;;Luxembourg;Luxembourg;centre_culturel_francais@culture.lu;http://www.institutfrancais-luxembourg.lu;352;46 21 66 1;47 30 57;
Institut français de Skopje;Gradski zid blok 5;- BP 388;1000;Skopje;Macédoine (ARYM);ccfskopje@ccfskpoje.edu.mk;http://www.ccfskopje.edu.mk;389;2 311 67 34 / 2 311 85 03;2 311 83 86;
Institut français de Madagascar;14, avenue de l'Indépendance;#NOM?;101;Tananarive;Madagascar;ccac@ccac.mg;http://www.ccac.mg;261;20 22 213 75 / 20 22 236 47;20 22 213 38;
Institut français du Mali;Boulevard de l'Indépendance;- BP 1547;;Bamako;Mali;dir@ccfbamako.org;http://www.ccfbamako.org;223;20 22 40 19 / 20 23 08 90 / 20 23 45 83;20 22 58 28;
Institut français du Maroc;1, rue Abou Inane;- BP 1459;10000;Rabat;Maroc;info@ifrabat.org;http://www.ambafrance-ma.org/institut/rabat;212;537 68 96 50;37 70 61 43;
Institut français de Maurice;30, avenue Julius Nyerere;;;Rose Hill;Maurice (île);info@ifmaurice.org;http://www.ifmaurice.org;230;467 42 22;467 72 22;
Institut français de Mauritanie;Rue Ahmed Ould Sid'Ahmed;- BP 225;;Nouakchott;Mauritanie;ccf@ccf-nkc.com;http://www.institutfrancais-mauritanie.com;222;45 29 96 31;45 25 40 64;
Institut français d'Amérique latine ;Campos Elíseos 339;- Col. Polanco - 11560 México D.F.;;Mexico;Mexique;;http://www.ambafrance-mx.org/;52;91 71 97 70/98 53;91 71 97 69;
Institut français du Montenegro;Njegoseva 26;;81000;Podgorica;Montenegro;contact@ccf.co.me;;382;20 667 000;même numéro;
Institut français du Nigéria;52 Libreville ;#NOM?;;Abuja;Nigéria;contact@institutfr-nigeria.org;http://www.institutfr-nigeria.org;234;080 59 47 84 56;;
Institut français de Norvège;Holtegaten 29;;355;Oslo;Norvège;culture@france.no;http://www.france.no;47;23 20 30 00;23 20 30 01;
Institut français d'Ouzbékistan;112, rue Zulfiya Khonim;Labzak;100128;Tachkent;Ouzbékistan;ccf@ambafrance-uz.org;http://www.ambafrance-uz.org/ifo;99;871 244 94 08/09;871 120 69 71;
Institut français des Pays-Bas;Maison Descartes;"Vijzelgracht 2A
";1017-RH;Amsterdam;Pays-Bas;info@institutfrancais.nl;http://institutfrancais.nl;20;5 319 501;;
Institut français de Pologne;Ul. Widok 12;;00-023;Varsovie;Pologne;kursy@institutfrancais.pl;http://institutfrancais.pl/;48;22 505 98 00;22 828 90 56;
Institut français du Portugal;Avenida Luis Bivar, 91;;1050-143;Lisbonne;Portugal;infos@ifp-lisboa.com;http://www.ifp-lisboa.com;351;213111400;213111468;
Institut français du Qatar;135 Al Inshirah Street;PoBox 2669;;Doha;Qatar;info@institutfrancais-qatar.com;www.institutfrancais-qatar.com;974;44 93 08 63;44 93 08 64;
Institut français de Roumanie;Boulevard Dacia 77;;20051;Bucarest;Roumanie;accueil@institutfrancais-roumanie.com;http://www.institut-francais.ro;40;374 125 200;374 125 271;
Institut français du Royaume-Uni;17 Queensberry Place;;SW5 2DT;Londres;Royaume-Uni;"box.office@ambafrance.org.uk ; culturel@ambafrance.org.uk";http://www.institut-francais.org.uk;44;20 70 73 13 50;20 70 73 13 55;
Institut français de Russie;Nikoloïamskaïa, 1;;109189;Moscou;Russie (Fédération de);ccf-moscou@ccf-moscou.ru;http://www.ccf-moscou.ru/;7;495 915 79 74;;
Institut français du Rwanda;Place de l'Unité;- BP 1333;;Kigali;Rwanda;cecfr@rwanda1.com;http://www.ambafrance-rw.org/spip.php?rubrique11;250;576 223;576 823;
Institut français du Sénégal;89, rue Joseph Gomis;- BP 4003;;Dakar;Senegal;info@institutfr-dakar.org;http://www.ifdakar.org/;221;33 823 03 20;33 821 26 19;
Institut français de Serbie;Zmaj Jovina 11;;11000;Belgrade;Serbie;ccf@ccf.org.yu;;381;(11) 302 36 00 / 11 302 36 54;(11) 302 36 10;
Institut français de Slovaquie;Palais Kutscherfeld;- Sedlarrska 7;81283;Bratislava;Slovaquie;culturel@france.sk;http://ifb.ambafrance-sk.org/;421;259 34 77 72;259 34 77 99;
Institut français de Slovénie;Breg 12;;1000;Ljubljana;Slovénie;ifcn@institutfrance.si;http://www.institutfrance.si;386;12000500;12000512;
Institut français régional du Soudan;Rue Ali Dinar;- PO Box 1568;;Khartoum;Soudan;ccf_khartoum@yahoo.fr;;249;183 79 80 36;183 77 51 39;
Institut français de Suède;Kommendörsgatan 16;- Box 5296;11246;Stockholm;Suède;kurser@franskainstitutet.se;http://www.franskainstitutet.se;46;8 440 54 90;8 440 54 91;
Institut français de Syrie;Quartier de Bahsa;- BP 3690;;Damas;Syrie;ccf-adm@mail.sy;http://www.ccf-damas.org;963;11 23 16 181 / 11 23 16 192;11 23 16 194;
Centre de coopération et d'action culturelle de Taïpei;205 Tun-Hwa North Road (10e et 14e étages);;105;Taipei;Taïwan;scac@fi-taipei.org;www.voila.tw;886;(2) 3518 5151;(2) 3518 5193;
Institut français du Tchad;;BP 1284;;N'Djamena;Tchad;;http://www.institut-francais-tchad.org/;235;22 51 91 56;66 21 99 66;
Institut français de République Tchèque;Stepánská 35;- PO BOX 850;;Prague ;Tchèque (République);"ifp@ifp.cz ; info@ifp.cz";http://www.ifp.cz;420;221 40 10 11;221 401 049;
Institut français du Togo;19, avenue du 24 Janvier;- BP 2090;;Lomé;Togo;secretariat@institutfrancais-togo.com;http://www.institutfrancais-togo.com/;228;22 23 07 60;22 21 34 42;
Institut français de Tunisie;87, avenue de la Liberté;- BP 180;1080;Tunis;Tunisie;contact@ifctunisie.org;http://www.institutfrancais-tunisie.com/;216;71 105 200;71 105 203;
Institut français du Turkménistan;90/7 rue 2058;;744000;Achgabat;Turkménistan;;http://www.ambafrance-tm.org/spip.php?rubrique8;993;(12) 36 45 56;(12) 36 45 57;
Institut français de Turquie;Konrad Adenauer Caddesi No 30;;6420;Ankara;Turquie;accueil.ankara@ifturquie.org;http://ifturquie.org/;90;(312) 408 82 00;(312) 408 82 19;
MICEL ;;;6420;ANKARA ;TURQUIE ;;;;;;
Institut français d'Ukraine;84, rue Hontchara;;1054;Kiev;Ukraine;culturel@ifu.kiev.ua;http://www.ifu.com.ua;380;44 482 23 71 / 482 06 72;44 484 16 87;
Institut français du Vietnam;24 Tràng Tiên;Hoàn Kiêm;;Hanoï;Vietnam;;www.ifhanoi-lespace.com;84;4 936 21 23;4 936 21 24;
Institut français du Yémen ;20, sud dairy - rue Al Quds ;;14551;Sanaa;Yémen (République);;http://cchmsanaa.com;967; 1 26 94 72;1 51 37 46;



Centres bi-nationaux en Afrique;;;;;;;;;;;
Centre culturel franco-guinéen;Espace Sory Kandia Kouyaté - Face au cinéma “Liberté”;- BP 492;;Conakry;Guinée;accueil@ccfg-conakry.org;http://www.ccfg-conakry.org/;224;63 40 96 25;;
Centre culturel franco-bissau guinéen;Prça Che Guevara;;;Bissau;Guinée-Bissao;danielbeugin@yahoo.fr;http://www.ccf-bissau.fr/;224;245 20 68 16;245 20 12 85;
Centre culturel franco-mozambicain;Avenida Samora Machel 486;- CP 491;;Maputo;Mozambique;direction@ccfmoz.com;http://www.ccfmoz.com;258;21 31 45 90 / 21 31 45 99 / 82 301 8010;21 31 46 00;
Centre culturel franco-namibien;118, Robert Mugabe Avenue;- PO Box 11622;;Windhoek;Namibie;fncc@mweb.com.na;http://www.fncc.org.na;264;61 22 56 74 / 61 22 21 22;61 22 49 27;
Centre culturel franco-nigérien;;BP 11413;;Niamey;Niger;ccfncom@intnet.ne;http://www.ccfnjeanrouch.org/;227;20 73 48 34 ;20 73 47 68;
